DATE,WM1NS
2020-06-01,16331.1
2020-06-08,16452.6
2020-06-15,16553.3
2020-06-22,16551.1
2020-06-29,16615.0
2020-07-06,16808.8
2020-07-13,16822.5
2020-07-20,16744.8
2020-07-27,16623.8
2020-08-03,16751.6
2020-08-10,16826.1
2020-08-17,16910.2
2020-08-24,16817.4
2020-08-31,16948.7
2020-09-07,17096.5
2020-09-14,17184.8
2020-09-21,17148.1
2020-09-28,17104.0
2020-10-05,17256.7
2020-10-12,17274.0
2020-10-19,17337.6
2020-10-26,17283.6
2020-11-02,17484.2
2020-11-09,17563.0
2020-11-16,17655.0
2020-11-23,17640.4
2020-11-30,17734.9
2020-12-07,17851.3
2020-12-14,17912.5
2020-12-21,17972.1
2020-12-28,18004.4
2021-01-04,18076.7
2021-01-11,18132.9
2021-01-18,18111.0
2021-01-25,18000.2
2021-02-01,18115.9
2021-02-08,18149.3
2021-02-15,18269.4
2021-02-22,18288.5
2021-03-01,18388.6
2021-03-08,18494.4
2021-03-15,18631.1
2021-03-22,18818.7
2021-03-29,18899.7
2021-04-05,19115.4
2021-04-12,19118.3
2021-04-19,19123.4
2021-04-26,18978.5
2021-05-03,19112.0
2021-05-10,19200.0
2021-05-17,19264.9
2021-05-24,19093.3
2021-05-31,19145.1
2021-06-07,19292.4
2021-06-14,19383.0
2021-06-21,19288.5
2021-06-28,19244.6
2021-07-05,19426.7
2021-07-12,19424.7
2021-07-19,19464.2
2021-07-26,19420.2
2021-08-02,19553.5
2021-08-09,19614.3
2021-08-16,19688.6
2021-08-23,19664.4
2021-08-30,19702.6
2021-09-06,19844.6
2021-09-13,19890.5
2021-09-20,19847.8
2021-09-27,19757.2
2021-10-04,19965.0
2021-10-11,19988.0
2021-10-18,20069.2
2021-10-25,19961.4
2021-11-01,20109.7
2021-11-08,20194.6
2021-11-15,20260.9
2021-11-22,20289.1
2021-11-29,20317.7
2021-12-06,20470.9
2021-12-13,20524.6
2021-12-20,20647.4
2021-12-27,20675.7
